# Characters of text keys that the default MySQL/MariaDB collations compare exactly like Access (05, Collation).
# code point, weight under utf8mb4_0900_as_ci (MySQL), weight under utf8mb4_uca1400_as_ci (MariaDB), safe (1/0).
# Weights: HEX(WEIGHT_STRING(<char> COLLATE <collation>)), measured on MySQL 8.0/8.4 and MariaDB 10.11/11.4/11.8;
# the integration matrix re-measures them (CollationWeightsIT, -Dcollation.update=true rewrites them).
# safe: derived by KeyTextSafetyTest from the weights and Access's own index encoding (Jackcess); rewrite with
# -Dcollation.update=true. Never edit by hand.
0020	020900000020	02090020	1
0021	026000000020	02680020	1
0022	030C00000020	03290020	1
0023	039800000020	03C00020	1
0024	1C1200000020	20360020	1
0025	039900000020	03C10020	1
0026	039600000020	03BD0020	1
0027	030500000020	03220020	1
0028	031700000020	03340020	1
0029	031800000020	03350020	1
002A	038F00000020	03B50020	1
002B	061600000020	069D0020	1
002C	022200000020	02240020	1
002D	020D00000020	020D0020	1
002E	027700000020	02810020	1
002F	039400000020	03BA0020	1
0030	1C3D00000020	206B0020	1
0031	1C3E00000020	206C0020	1
0032	1C3F00000020	206D0020	1
0033	1C4000000020	206E0020	1
0034	1C4100000020	206F0020	1
0035	1C4200000020	20700020	1
0036	1C4300000020	20710020	1
0037	1C4400000020	20720020	1
0038	1C4500000020	20730020	1
0039	1C4600000020	20740020	1
003A	023900000020	02410020	1
003B	023400000020	023B0020	1
003C	061A00000020	06A10020	1
003D	061B00000020	06A20020	1
003E	061C00000020	06A30020	1
003F	026600000020	026F0020	1
0040	038E00000020	03B40020	1
0041	1C4700000020	20750020	1
0042	1C6000000020	208F0020	1
0043	1C7A00000020	20A90020	1
0044	1C8F00000020	20BF0020	1
0045	1CAA00000020	20DB0020	1
0046	1CE500000020	21160020	1
0047	1CF400000020	21250020	1
0048	1D1800000020	214C0020	1
0049	1D3200000020	21670020	1
004A	1D4C00000020	21830020	1
004B	1D6500000020	219C0020	1
004C	1D7700000020	21B00020	1
004D	1DAA00000020	21E80020	1
004E	1DB900000020	21F70020	1
004F	1DDD00000020	221D0020	1
0050	1E0C00000020	224D0020	1
0051	1E2100000020	22620020	1
0052	1E3300000020	22750020	1
0053	1E7100000020	22B60020	1
0054	1E9500000020	22DF0020	1
0055	1EB500000020	23010020	1
0056	1EE300000020	23310020	1
0057	1EF500000020	23430020	1
0058	1EFF00000020	234D0020	1
0059	1F0B00000020	23590020	1
005A	1F2100000020	236F0020	1
005B	031900000020	03360020	1
005C	039500000020	03BB0020	1
005D	031A00000020	03370020	1
005E	048500000020	04CC0020	1
005F	020B00000020	020B0020	1
0060	048200000020	04C90020	1
0061	1C4700000020	20750020	1
0062	1C6000000020	208F0020	1
0063	1C7A00000020	20A90020	1
0064	1C8F00000020	20BF0020	1
0065	1CAA00000020	20DB0020	1
0066	1CE500000020	21160020	1
0067	1CF400000020	21250020	1
0068	1D1800000020	214C0020	1
0069	1D3200000020	21670020	1
006A	1D4C00000020	21830020	1
006B	1D6500000020	219C0020	1
006C	1D7700000020	21B00020	1
006D	1DAA00000020	21E80020	1
006E	1DB900000020	21F70020	1
006F	1DDD00000020	221D0020	1
0070	1E0C00000020	224D0020	1
0071	1E2100000020	22620020	1
0072	1E3300000020	22750020	1
0073	1E7100000020	22B60020	1
0074	1E9500000020	22DF0020	1
0075	1EB500000020	23010020	1
0076	1EE300000020	23310020	1
0077	1EF500000020	23430020	1
0078	1EFF00000020	234D0020	1
0079	1F0B00000020	23590020	1
007A	1F2100000020	236F0020	1
007B	031B00000020	03380020	1
007C	061E00000020	06A50020	1
007D	031C00000020	03390020	1
007E	062000000020	06A70020	1
00A0	020900000020	02090020	0
00A1	026100000020	02690020	1
00A2	1C1100000020	20350020	1
00A3	1C1300000020	20370020	1
00A4	1C1000000020	20340020	1
00A5	1C1400000020	20380020	1
00A6	061F00000020	06A60020	1
00A7	038900000020	03AE0020	1
00A8	048900000020	04D00020	1
00A9	058400000020	06090020	1
00AA	1C4700000020	20750020	0
00AB	031500000020	03320020	1
00AC	061D00000020	06A40020	1
00AE	058500000020	060B0020	1
00AF	048600000020	04CD0020	1
00B0	04F600000020	054C0020	1
00B1	061700000020	069E0020	1
00B2	1C3F00000020	206D0020	1
00B3	1C4000000020	206E0020	1
00B4	048300000020	04CA0020	1
00B5	1FCB00000020	241F0020	0
00B6	038B00000020	03B00020	1
00B7	028B00000020	02960020	1
00B8	048C00000020	04D30020	1
00B9	1C3E00000020	206C0020	1
00BA	1DDD00000020	221D0020	0
00BB	031600000020	03330020	1
00BC	1C3E06261C410000002000200020	206C06AD206F002000200020	0
00BD	1C3E06261C3F0000002000200020	206C06AD206D002000200020	0
00BE	1C4006261C410000002000200020	206E06AD206F002000200020	0
00BF	026700000020	02700020	1
00C0	1C47000000200025	207500200025	1
00C1	1C47000000200024	207500200024	1
00C2	1C47000000200027	207500200027	1
00C3	1C4700000020002D	20750020002D	1
00C4	1C4700000020002B	20750020002B	1
00C5	1C47000000200029	207500200029	1
00C6	1C471CAA0000002001100020	207520DB002001180020	0
00C7	1C7A000000200030	20A900200030	1
00C8	1CAA000000200025	20DB00200025	1
00C9	1CAA000000200024	20DB00200024	1
00CA	1CAA000000200027	20DB00200027	1
00CB	1CAA00000020002B	20DB0020002B	1
00CC	1D32000000200025	216700200025	1
00CD	1D32000000200024	216700200024	1
00CE	1D32000000200027	216700200027	1
00CF	1D3200000020002B	21670020002B	1
00D0	1C8F000000200110	20BF00200118	1
00D1	1DB900000020002D	21F70020002D	1
00D2	1DDD000000200025	221D00200025	1
00D3	1DDD000000200024	221D00200024	1
